Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,person_id,qw,qx,qy,qz,roll,pitch,yaw,bgx,bgy,bgz,acc_lin_x,acc_lin_y,acc_lin_z
28,295140,30409,-5943,-2488,-67,-4918,1844,295140,-11034,28744,3370,-7873,-813,-20770,295141,-21024,21736,2992,5903,-5179,-19892,295098,2417,31184,13424,489,-5881,-10372,295130,9472,-30560,10056,-6739,-152,6728,1,0,IMU_label_0_hansol,0.5280569847169972,0.8292507446690962,-0.1274175390837991,0.13139175807930603,2.0216687937540403,-0.3602207986468165,-0.07761158866804664,0.0,0.0,0.0,30405.54334348172,-5951.260141948788,-2484.001004510755
29,295183,-31375,-3079,-1688,-2457,-2772,2638,295183,-11904,29142,3352,-5384,6951,-20928,295184,-21304,26296,6592,-180,983,-19800,295141,7521,-24872,12344,-1446,5779,-10818,295170,320,30848,12888,-5657,-1216,6608,1,0,IMU_label_0_hansol,0.30568923104620294,-0.26083127848430554,-0.8765109364524034,-0.2650466307387332,2.7156619715122434,-0.7398062374800963,2.7304311212850676,0.0,0.0,0.0,-31381.611102215134,-3081.9926553215055,-1681.4039613516725
30,295226,29265,-8063,-6096,-4041,-10736,1004,295226,-21056,26588,3644,-3662,1059,-19084,295227,-24336,21448,4120,4478,4249,-20080,295184,7409,-32440,12672,139,-945,-9006,295210,6312,30688,10448,-3164,7458,2202,1,0,IMU_label_0_hansol,-0.8829371865775684,-0.4330581423461236,-0.17685573959436354,-0.04005767440508161,0.9454547320465778,0.28130585764165866,0.23523939621080756,0.0,0.0,0.0,29267.72242816808,-8070.6383519748815,-6101.51492050713
31,295269,30657,-2135,-4168,-4907,-8960,1706,295269,-18172,23820,5220,-2962,2369,-18806,295270,-21976,19329,-192,3018,1741,-19568,295227,6049,-27264,19128,-248,6217,-9402,295250,6512,-27376,11472,-4930,3258,1250,1,0,IMU_label_0_hansol,-0.36008197126336466,0.3503341173552961,0.8523942419549341,0.14502081392009997,-3.1343382124675703,-0.7973038721687127,2.358630823520678,0.0,0.0,0.0,30649.98358635027,-2134.950298077117,-4161.148879402811
32,295312,-31207,-10015,-7520,-3755,-7590,834,295312,-22842,26634,2360,186,723,-18190,295313,-21976,19329,-192,2926,1765,-19562,295270,8529,-32768,10968,-1948,679,-7404,295291,6160,25872,14360,-2308,6220,3056,1,0,IMU_label_0_hansol,0.8964229658856181,0.37589750412511286,0.23285753217768876,0.030071620067092734,0.8462182530838682,0.4059263322522928,0.2518829339122706,0.0,0.0,0.0,-31203.12764825777,-10021.746299693514,-7525.9718269107725
33,295355,-28599,-1679,-9024,-6051,-10085,-306,295355,-19504,29822,9022,-867,-3935,-16038,295356,-28176,25008,128,2626,2925,-15222,295313,9849,-29080,16656,-3164,2109,-7078,295331,10776,32760,13480,-5256,2506,2588,1,0,IMU_label_0_hansol,0.40132542488223155,-0.4381179029213043,-0.7720988261916049,-0.22550833482707677,-3.1356460777384267,-0.9567516508080502,2.106244337216326,0.0,0.0,0.0,-28607.01521291938,-1678.966399810061,-9018.34972415658
34,295398,-30359,-6071,-10104,-6461,-17510,558,295398,-19984,29018,10780,1877,-2343,-13202,295399,-27816,25096,8,2594,2887,-15250,295356,11257,-32544,10864,-4087,-2295,-4366,295371,8400,27168,14776,-3398,4579,-120,1,0,IMU_label_0_hansol,-0.866733296795834,-0.37575150253569006,-0.289351187075596,0.15446711982017255,0.7959979041547536,0.6657677692898717,-0.06402206809912514,0.0,0.0,0.0,-30352.9427939511,-6076.51096649261,-10109.395357951145
35,295442,32601,-615,-19320,-5955,-18557,-188,295398,-19984,29018,10780,1877,-2343,-13202,295441,-28296,17784,8,3106,1587,-11116,295441,9505,-31016,9160,70,3849,-1990,295411,9832,-32072,10248,-4286,2340,142,1,0,IMU_label_0_hansol,-0.3932595004201159,0.4127534742827639,0.7729272939675282,0.27850481690064677,2.9463943632919727,-0.9932955394218608,2.2666464610582753,0.0,0.0,0.0,32592.783697720297,-616.0384212532272,-19314.74791066604
36,295485,28545,-2183,-21248,-6307,-18394,344,295442,-20582,26058,10782,-1073,-2675,-12052,295484,-29344,17256,1536,5760,999,-10600,295484,10033,-30536,7528,944,3281,-726,295451,5768,26072,15824,-2324,1305,-494,1,0,IMU_label_0_hansol,0.8579218137215617,0.4067280334443027,0.2782928742852176,-0.14524305309827384,0.8760106861625541,0.6380819669309099,-0.028432878222555344,0.0,0.0,0.0,28550.841388908408,-2189.0511099362884,-21253.043077273072
37,295528,27929,-4423,-13864,-7117,-16231,-2712,295485,-22076,24660,11376,966,319,-10042,295527,-30824,15720,912,6290,493,-8868,295527,10121,-30808,10224,3102,4119,-916,295491,8304,26408,13160,-3178,87,-1096,1,0,IMU_label_0_hansol,0.396196383578349,-0.5118602329852705,-0.6559273521649879,-0.38831280716650346,2.8778682664974147,-1.1611854399872625,1.9898710476758783,0.0,0.0,0.0,27920.004596711748,-4424.018083610901,-13860.229508034034
