Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,qw,qx,qy,qz,roll,pitch,yaw,bgx,bgy,bgz,acc_lin_x,acc_lin_y,acc_lin_z
7530,866242,-28623,-2295,-18208,398,7417,-58,866242,30879,-13100,15282,11358,16287,-11790,866243,27552,6888,4536,2244,17525,-16230,866200,16113,-29855,-256,3382,4809,-488,866221,21512,20641,-2360,-1330,3770,44,131,1,-0.20903612932393612,0.5720573759764935,-0.22769473305914648,-0.759742959010006,0.4159639185504515,1.3032632854544466,2.923805884722064,0.0,0.0,0.0,-28613.54221197865,-2296.0475230253337,-18210.371355198422
7531,866284,-27063,-3695,-18648,1160,5188,654,866284,32335,-12640,14800,9828,10451,-9320,866285,28008,5104,5576,2812,14037,-13664,866243,17881,-25496,568,4794,7817,-736,866261,23392,29185,-440,-3326,453,-3052,131,1,0.1854846063456368,0.6733772321624973,-0.4410353591597495,0.5636012561952013,-2.4453561304425167,-1.1748786541775327,-1.6338922755322258,0.0,0.0,0.0,-27072.048037445067,-3692.574482585542,-18645.098230214622
7532,866326,-23279,-4887,-20816,-2740,2797,-204,866326,-32487,-10816,12410,6492,4977,-6586,866327,28248,4400,6728,1222,8155,-7956,866285,20505,-28528,5176,6132,6209,-280,866301,22064,23272,2056,-2390,541,-2642,131,1,0.818999752331842,-0.49140495560671954,-0.23768262262329082,0.17682631644767619,-1.1441918613535078,-0.21724209259275967,0.5654936534134307,0.0,0.0,0.0,-23281.113699468664,-4878.2821023355,-20819.962438528226
7533,866368,-19807,-4839,-22280,-1626,2408,768,866368,-30569,-12380,16152,666,517,-1210,866369,22448,2720,3152,1414,3229,-1450,866327,18257,-28560,5824,3016,4433,-234,866341,23128,27848,2104,-2372,1327,-2814,131,1,-0.09331079283350853,-0.6615096334066753,0.6778349169151253,-0.30698196406566514,-2.7884390150666425,-0.5617188063615437,-1.6980341062836313,0.0,0.0,0.0,-19812.223430531547,-4836.129454177858,-22272.21243784053
7534,866410,-18895,-3743,-20680,-2101,-3038,386,866410,-32243,-14990,17338,-1819,-3854,3856,866411,24896,4328,3608,949,-3424,5400,866369,20449,-32168,2424,1542,3565,-146,866381,22544,27384,2688,757,-1601,-2996,131,1,0.20957059433980899,-0.14563772860229018,0.33688002820827345,0.9063010893682175,0.6449313357621245,0.4171796011002083,2.8283200219766247,0.0,0.0,0.0,-18891.026506644892,-3748.3896044352887,-20687.16476788253
7535,866453,-22783,-2607,-19704,-2741,-3581,-420,866453,-29631,-13230,15554,-6621,-13096,9410,866454,25264,3728,5856,-275,-14584,12236,866411,21241,-28672,2856,-1116,1188,1336,866421,22752,26264,928,629,-2083,-3804,131,1,0.26682445957308054,0.5551537680073159,-0.7200779665176423,0.31952577951806954,-2.895813656308877,-0.8316452474220093,-1.9369968067184389,0.0,0.0,0.0,-22790.24751357365,-2605.3925945592746,-19697.592178297473
7536,866495,-26831,-1863,-19112,-1511,-2702,538,866495,-29057,-11594,11828,-11485,-17740,12232,866496,28192,3608,8232,-1535,-21612,15910,866454,22497,-30696,4952,-909,-2302,2606,866461,21760,28256,3152,1251,-3683,-3758,131,1,-0.39825773823521954,0.04081081461907152,-0.5008118784455616,-0.7674064853477088,0.9787795846974873,0.47973192704753786,2.44324732263985,0.0,0.0,0.0,-26826.473825229707,-1870.219127362066,-19116.85472206223
7537,866539,-31151,-167,-17360,-201,-2200,1764,866495,-29057,-11594,11828,-11485,-17740,12232,866538,29432,6984,4032,-2463,-22954,17394,866538,16441,-28808,1912,-9471,-11574,9210,866501,21368,25016,1960,3537,-4573,-5448,131,1,0.07787622975230728,-0.8793825891168268,0.32110611174070847,-0.342800845682323,-2.698669897003704,-0.5858323410812197,-0.8358146369417825,0.0,0.0,0.0,-31156.422029352412,-163.49787960736126,-17352.617105264224
7538,866582,31665,-3159,-17128,-268,2654,1494,866539,31869,-12862,11830,-13549,-19574,13700,866581,29368,10288,6560,1391,-16634,18166,866538,16441,-28808,1912,-9471,-11574,9210,866583,15480,27313,-24,-1415,-4641,-8178,131,1,-0.18566694507968376,0.418669625966525,0.5375789448323386,-0.7079918134207326,-1.4930091851717902,0.404118104050093,2.254078750376753,0.0,0.0,0.0,31668.85605376837,-3150.010545941581,-17128.70067773585
7539,866582,31665,-3159,-17128,-268,2654,1494,866582,29117,-16770,11524,-10829,-14032,17206,866581,29368,10288,6560,1391,-16634,18166,866581,12713,-28719,-1880,-5335,-10912,10484,866624,14232,25065,-2456,-3468,1967,-7702,131,1,-0.09001522959625488,0.9067554234255503,-0.2859589253385797,0.2965119787601997,-2.750841268816374,-0.5077889495860543,-0.7136035447738687,0.0,0.0,0.0,31660.231552005593,-3155.736110649107,-17120.076660157974
7540,866626,28913,-3863,-14728,-2832,4064,98,866626,28667,-17434,9260,-8255,-9962,21170,866625,-32104,10592,8192,7629,-7172,18644,866625,12969,32033,-960,1227,-1846,9496,866667,18256,28704,4520,-6866,4717,-8146,131,1,0.7450485598080259,-0.17908769448368986,-0.2669821803027119,0.5844234394797264,-0.6304240454951491,-0.18963788597974715,1.3923284101836126,0.0,0.0,0.0,28911.15141425917,-3857.322740596594,-14735.779578436377
7541,866669,27721,-2711,-13000,-3654,6608,872,866669,26903,-18846,3728,-8111,-7508,21818,866668,-31384,9768,12192,10277,-5230,18054,866668,9705,-28448,160,3402,6146,7042,866710,16848,27600,1976,-3710,4017,-11012,131,1,0.08875754281181392,-0.8991253460756233,0.38375829030428377,-0.19085409416916488,-2.8175783730400448,-0.27867355764005575,-0.8526456797080613,0.0,0.0,0.0,27718.30238062633,-2707.9982629416772,-12991.062281691058
7542,866712,27825,-2159,-12672,-2812,4224,1742,866712,26319,-21108,4208,-7193,-7046,23138,866711,-26816,12480,11144,10573,-2554,16012,866711,14065,-30688,656,5494,6858,7590,866753,13984,26760,3088,-5008,3323,-11764,131,1,-0.7096502872034656,0.21154926711739888,0.4689228778834675,-0.4814090901215064,-1.0113563143147717,-0.4800900296753149,1.461539254093359,0.0,0.0,0.0,27820.470710148013,-2151.6279541432627,-12676.61615181134
7543,866755,28601,-1311,-10008,-1178,17708,2400,866755,23017,-24576,1998,-8101,-9176,24578,866754,-24480,16808,12888,10031,-7220,18388,866754,13321,-29528,2024,4252,7056,9358,866796,15296,31544,5816,-8008,7133,-12932,131,1,-0.3891942030019623,0.5867079052280657,-0.6957529300376908,0.1422306810661139,-2.3577161158014817,0.38404112921221956,-1.5800757969080228,0.0,0.0,0.0,28604.67426034343,-1304.5805526185102,-10001.560986840557
